hub,waste_tons,biochar_tons,co2_tons,jobs_created
1,500.00,300.00,600.00,20
2,1000.00,600.00,1200.00,40
3,1500.00,900.00,1800.00,60
4,2000.00,1200.00,2400.00,80
5,2500.00,1500.00,3000.00,100
6,3000.00,1800.00,3600.00,120
7,3500.00,2100.00,4200.00,140
8,4000.00,2400.00,4800.00,160
9,4500.00,2700.00,5400.00,180
10,5000.00,3000.00,6000.00,200
11,5500.00,3300.00,6600.00,220
12,6000.00,3600.00,7200.00,240
13,6500.00,3900.00,7800.00,260
14,7000.00,4200.00,8400.00,280
15,7500.00,4500.00,9000.00,300
16,8000.00,4800.00,9600.00,320
17,8500.00,5100.00,10200.00,340
18,9000.00,5400.00,10800.00,360
19,9500.00,5700.00,11400.00,380
20,10000.00,6000.00,12000.00,400
21,10500.00,6300.00,12600.00,420
22,11000.00,6600.00,13200.00,440
23,11500.00,6900.00,13800.00,460
24,12000.00,7200.00,14400.00,480
25,12500.00,7500.00,15000.00,500
26,13000.00,7800.00,15600.00,520
27,13500.00,8100.00,16200.00,540
28,14000.00,8400.00,16800.00,560
29,14500.00,8700.00,17400.00,580
30,15000.00,9000.00,18000.00,600
31,15500.00,9300.00,18600.00,620
32,16000.00,9600.00,19200.00,640
33,16500.00,9900.00,19800.00,660
34,17000.00,10200.00,20400.00,680
35,17500.00,10500.00,21000.00,700
36,18000.00,10800.00,21600.00,720
37,18500.00,11100.00,22200.00,740
38,19000.00,11400.00,22800.00,760
39,19500.00,11700.00,23400.00,780
40,20000.00,12000.00,24000.00,800
41,20500.00,12300.00,24600.00,820
42,21000.00,12600.00,25200.00,840
43,21500.00,12900.00,25800.00,860
44,22000.00,13200.00,26400.00,880
45,22500.00,13500.00,27000.00,900
46,23000.00,13800.00,27600.00,920
47,23500.00,14100.00,28200.00,940
48,24000.00,14400.00,28800.00,960
49,24500.00,14700.00,29400.00,980
50,25000.00,15000.00,30000.00,1000
51,25500.00,15300.00,30600.00,1020
52,26000.00,15600.00,31200.00,1040
53,26500.00,15900.00,31800.00,1060
54,27000.00,16200.00,32400.00,1080
55,27500.00,16500.00,33000.00,1100
56,28000.00,16800.00,33600.00,1120
57,28500.00,17100.00,34200.00,1140
58,29000.00,17400.00,34800.00,1160
59,29500.00,17700.00,35400.00,1180
60,30000.00,18000.00,36000.00,1200
61,30500.00,18300.00,36600.00,1220
62,31000.00,18600.00,37200.00,1240
63,31500.00,18900.00,37800.00,1260
64,32000.00,19200.00,38400.00,1280
65,32500.00,19500.00,39000.00,1300
66,33000.00,19800.00,39600.00,1320
67,33500.00,20100.00,40200.00,1340
68,34000.00,20400.00,40800.00,1360
69,34500.00,20700.00,41400.00,1380
70,35000.00,21000.00,42000.00,1400
71,35500.00,21300.00,42600.00,1420
72,36000.00,21600.00,43200.00,1440
73,36500.00,21900.00,43800.00,1460
74,37000.00,22200.00,44400.00,1480
75,37500.00,22500.00,45000.00,1500
76,38000.00,22800.00,45600.00,1520
77,38500.00,23100.00,46200.00,1540
78,39000.00,23400.00,46800.00,1560
79,39500.00,23700.00,47400.00,1580
80,40000.00,24000.00,48000.00,1600
81,40500.00,24300.00,48600.00,1620
82,41000.00,24600.00,49200.00,1640
83,41500.00,24900.00,49800.00,1660
84,42000.00,25200.00,50400.00,1680
85,42500.00,25500.00,51000.00,1700
86,43000.00,25800.00,51600.00,1720
87,43500.00,26100.00,52200.00,1740
88,44000.00,26400.00,52800.00,1760
89,44500.00,26700.00,53400.00,1780
90,45000.00,27000.00,54000.00,1800
91,45500.00,27300.00,54600.00,1820
92,46000.00,27600.00,55200.00,1840
93,46500.00,27900.00,55800.00,1860
94,47000.00,28200.00,56400.00,1880
95,47500.00,28500.00,57000.00,1900
96,48000.00,28800.00,57600.00,1920
97,48500.00,29100.00,58200.00,1940
98,49000.00,29400.00,58800.00,1960
99,49500.00,29700.00,59400.00,1980
100,50000.00,30000.00,60000.00,2000
